,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
25/01/2018,0,-0.002142023,0.006863735,-0.057060431,0.003543579,0.011688075,0.000229395
24/01/2018,1,-0.068089972,0.012536937,-0.006889334,0.001139555,9.46E-03,0.001707883
23/01/2018,2,0.011335092,0.043759071,0.014313352,0.005822809,0.0014053,0.000131621
22/01/2018,3,0.027825647,0.001539819,-0.008949076,0.009786423,0.003377102,-0.000526377
19/01/2018,4,-0.005216067,-0.002388051,-0.003171557,-0.000716189,-0.001359619,-0.000689931
18/01/2018,5,-0.00764753,0.008925728,0.015683716,-0.000095646,-0.002598375,1.55E-03
17/01/2018,6,0.002454401,0.020678428,0.005922289,0.008027394,0.011788166,-2.37E-03
16/01/2018,7,-0.019711267,0.014230034,-0.002406854,-0.012067372,-0.009288927,0.000721819
12/01/2018,8,0.015550623,0.003741358,0.005682904,0.005203152,0.003383391,-0.000262664
11/01/2018,9,-0.001701687,0.008591714,0.01781222,0.004407161,0.00552956,-0.00147432
10/01/2018,10,-0.052713283,-0.007190552,-0.012197194,0.00062336,-0.004100047,-0.00055564
09/01/2018,11,0.001075786,0.013507796,-0.022725382,0.007170266,0.011285156,0.000065314
08/01/2018,12,-0.035755235,-0.013295598,-0.014340885,-0.00697615,2.21E-03,9.80E-05
05/01/2018,13,-0.025054987,0.012219529,-0.009736182,-0.007042893,-0.000428091,-1.24E-03
04/01/2018,14,-0.00317209,-0.003861906,-0.022932934,0.000764818,0.001463293,-0.000976455
03/01/2018,15,-0.025978842,0.009201106,0.002599462,0.006680843,0.003344116,-0.00175207
02/01/2018,16,-0.002270598,0.003002441,-0.00024824,0.004577145,0.009563885,0.003739876
29/12/2017,17,0.012906913,0.00212789,0.055658357,0.005548495,0.009888461,0.001800043
28/12/2017,18,0.005235789,0.020933058,0.03677674,0.00273671,0.014872324,0.085963826
27/12/2017,19,-0.015171064,0.006511126,-0.012260043,2.19E-03,0.001439482,-0.005402928
26/12/2017,20,0.005116671,-0.000329739,0.021256463,-0.002021583,2.76E-04,0.010590637
22/12/2017,21,-0.000354816,0.002755335,0.00094139,0.00248173,0.000324343,0.007549589
21/12/2017,22,-0.015160464,-0.002700399,0.010331372,-0.008123751,-0.005961473,-1.29E-02
20/12/2017,23,-0.004599357,-0.005604113,-0.000966989,0.014982359,0.002922174,0.008922376
19/12/2017,24,0.000339028,-0.00401286,0.062182731,0.007399576,0.010517302,0.017861355
18/12/2017,25,0.003063219,0.057935656,-5.52E-03,2.76E-03,-0.003517772,-0.004482097
15/12/2017,26,-0.023112414,6.56E-03,2.08E-02,0.002686351,0.000753769,0.005759011
14/12/2017,27,0.012817793,0.010601283,0.017417161,0.004418169,0.004997916,0.003251875
13/12/2017,28,-0.015883604,0.013428512,0.019395926,0.012277475,0.008493677,0.012018542
12/12/2017,29,-0.008912181,-0.009729091,0.006309475,-0.004714465,-0.001165757,-0.000397201
11/12/2017,30,-0.021963741,0.012615656,-0.007143854,-0.000726723,-0.002003184,-0.00460736
08/12/2017,31,0.016171597,0.014407724,-0.019160161,0.006396526,0.003202742,0.006286906
07/12/2017,32,9.34E-04,-0.00045684,-0.006923538,-0.007399569,-0.003085197,-0.026831403
06/12/2017,33,0.006118029,0.007274862,0.00572878,-0.000462163,0.003372916,9.60E-03
05/12/2017,34,0.000158011,0.023050531,0.031970587,0.023310049,0.016635323,0.024963808
04/12/2017,35,-0.021430055,-0.015722566,-0.009107704,-0.007681127,-0.001124387,-0.013710797
01/12/2017,36,-0.004936068,0.002059,-0.026624746,0.002529257,0.00311677,0.005008105
30/11/2017,37,0.001788449,-0.000355697,-0.016061729,-0.001010268,-0.004658066,-0.001807818
29/11/2017,38,-0.017418019,0.009392589,0.012527668,-0.001135746,0.006251482,0.003401398
28/11/2017,39,0.007233586,0.007944261,0.016947311,0.005368872,0.009848533,0.006433447
27/11/2017,40,-0.002907908,-0.002533484,0.004907334,0.002481736,0.005955589,0.001352381
24/11/2017,41,0.004222846,-0.001346802,-0.009960853,-0.002044812,-0.0007719,-0.009776894
22/11/2017,42,0.00220045,0.001592125,3.02E-03,-0.001906292,-0.008401386,-5.09E-03
21/11/2017,43,-0.00336948,-0.004224665,-0.011187598,-3.23E-05,-0.004835692,-8.30E-03
20/11/2017,44,-0.000584024,-0.007301669,0.001184979,0.002781283,0.000481153,0.020329779
17/11/2017,45,-0.005646848,-0.00515482,0.043434468,-0.001069349,-0.004187737,0.010028035
16/11/2017,46,-0.002009297,0.020674808,0.013767133,0.003999146,0.005240981,0.012999753
15/11/2017,47,0.00071654,0.017330632,0.000225666,0.005522404,0.006047506,0.012815941
14/11/2017,48,0.01045144,0.005185668,0.01213128,0.01036136,0.012204423,0.004603555
13/11/2017,49,-0.001905768,0.006649841,0.017767456,0.009366543,0.00782466,0.004304635
