,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
29-Dec-17,0,28.71,28.96,28.35,28.37,296.94,297.30,294.83,294.91,27.65,27.65,27.2,27.2,322.22,323.15,321.02,321.05,308.25,309.19,306.91,306.91,132.09,132.09,130.85,131.5
28-Dec-17,1,28.43,28.92,28.31,28.73,295.81,296.99,294.74,296.35,27.50,27.65,27.3,27.55,319.83,322.3,319.71,322.1,306.82,308.51,305.85,308.29,132.06,132.10,131.84,132.0
27-Dec-17,2,28.52,28.62,28.32,28.39,296.41,296.80,294.80,295.62,27.50,27.75,27.2,27.45,319.67,319.67,318.07,319.44,304.65,306.33,304.08,306.16,131.75,132.24,131.59,132.09
26-Dec-17,3,28.36,28.74,27.95,28.48,295.54,297.44,294.65,295.36,27.30,27.70,27.0,27.45,318.36,319.77,317.97,318.51,304.42,306.43,303.73,303.84,132.15,132.23,131.51,131.6
22-Dec-17,4,28.20,28.51,27.95,28.36,296.33,296.52,293.01,295.1,27.55,27.65,27.15,27.35,318.30,319.24,317.60,318.03,305.77,305.77,303.7,303.78,132.31,132.31,132.05,132.14
21-Dec-17,5,28.73,29.15,28.12,28.21,298.05,298.39,294.13,295.03,27.15,28.05,26.96,27.55,319.00,319.2,317.01,317.19,307.54,307.74,304.06,304.49,132.27,132.34,131.99,132.25
20-Dec-17,6,27.93,29.02,27.81,28.77,298.70,299.33,297.11,297.9,27.25,27.38,26.95,27.1,319.84,321.26,317.65,317.72,307.93,308.50,306.38,306.62,132.35,132.45,132.12,132.22
19-Dec-17,7,27.00,27.89,26.87,27.63,296.50,297.58,294.18,297.25,27.65,27.80,27.05,27.1,322.76,323.13,319.78,319.97,308.72,309.88,307.04,307.12,132.15,132.33,132.04,132.3
18-Dec-17,8,27.31,27.95,26.56,26.95,296.00,297.14,294.52,296.14,27.50,27.90,27.25,27.65,323.59,323.94,319.00,322.76,311.02,311.13,306.73,308.4,131.91,132.27,131.75,132.2
15-Dec-17,9,28.00,28.86,28.0,28.44,295.87,297.37,293.02,293.94,26.75,27.70,26.65,27.25,318.69,323.38,318.43,322.82,308.53,311.15,307.52,310.47,131.48,132.00,131.48,131.91
14-Dec-17,10,28.17,28.54,27.85,27.96,293.35,296.82,292.60,293.88,26.60,27.00,26.2,26.65,318.21,319.03,316.42,317.01,309.45,310.08,306.32,306.91,131.60,131.94,131.59,131.65
13-Dec-17,11,27.68,28.46,27.68,28.15,290.50,295.85,289.70,291.84,26.55,27.10,26.45,26.6,316.66,319.84,316.30,317.79,306.96,311.08,306.96,308.46,132.05,132.34,131.21,131.75
12-Dec-17,12,27.42,28.11,27.42,27.78,289.94,292.80,287.72,289.94,26.65,26.94,26.3,26.5,315.89,316.9,314.91,315.89,307.28,307.92,305.1,307.28,132.39,132.48,132.0,132.15
11-Dec-17,13,27.49,28.12,27.31,27.41,286.21,286.49,279.90,283.16,26.65,27.15,26.4,26.5,315.45,317.24,315.15,316.17,306.52,307.17,303.86,304.56,132.57,132.57,132.25,132.31
8-Dec-17,14,27.90,27.96,27.61,27.66,285.01,287.32,283.56,285.9,26.85,26.85,26.15,26.7,316.56,316.56,313.45,315.85,303.25,305.67,301.01,305.67,132.55,132.58,132.15,132.55
7-Dec-17,15,27.78,28.15,27.64,27.78,282.81,284.79,277.80,281.97,26.65,27.55,26.45,26.65,311.83,315.36,311.81,314.42,300.26,303.87,300.2,302.68,132.40,132.47,132.14,132.15
6-Dec-17,16,27.79,28.10,27.56,27.81,276.58,279.14,274.00,278.27,27.10,27.40,26.55,26.8,311.98,313.07,310.25,311.97,297.96,301.29,297.82,300.2,132.49,132.73,132.37,132.47
