,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
25/01/2018,0,-0.015815085,0.025157609,-0.006161653,0.012799177,0.036814905,0.003786158
24/01/2018,1,-0.026642984,-0.002681844,-0.027150917,0.005445695,-6.38E-05,-0.00309504
23/01/2018,2,0.044526902,-0.007130178,-0.059369818,-0.000911854,-0.0052675,-0.002785306
22/01/2018,3,-0.005535055,0.000799455,-0.035817077,-0.009036145,-0.003887853,0.002641709
19/01/2018,4,-0.030411449,-0.007143697,0.004820051,-0.003003003,0.006586064,0.005616698
18/01/2018,5,-0.033429395,-0.0309108,0.009406422,-0.00555456,-0.010109918,0.000227756
17/01/2018,6,-0.047226798,0.047290846,-0.003877221,0.014389143,0.015901965,-0.000227704
16/01/2018,7,-0.029317697,-0.003123048,-0.027035523,-0.018260223,-0.008281771,-0.001969548
12/01/2018,8,-0.013669821,0.024655614,0.001259049,0.015462205,0.018090777,0.000303099
11/01/2018,9,0.004807438,0.024542559,-0.001257466,0.000241655,0.006306687,-0.001286514
10/01/2018,10,0.019881466,0.005746946,-0.005004692,0.001633839,-0.008956474,-0.00346908
09/01/2018,11,0.015317287,0.02669676,0.00125274,0.007161141,0.006909752,0.003025719
08/01/2018,12,-0.014023732,0.004241679,0.0253693,-0.004610531,0.000129777,0.00227445
05/01/2018,13,0.000539665,0.041022011,0.013012362,0.009059745,-0.001069519,-0.000227393
04/01/2018,14,0.020936639,-0.003794493,0.001955671,0.017153887,0.006195989,0.001822462
03/01/2018,15,0.00945495,0.003234065,-0.015404365,0.008381993,0.004619316,-0.000607118
02/01/2018,16,0.030372493,0.006544369,-0.001282051,-0.007818097,-0.005441335,0.002053232
29/12/2017,17,0.005184332,-0.004859119,-0.007633588,-0.003259857,-0.004476305,-0.003787879
28/12/2017,18,-0.001150748,0.002469386,0.001912046,0.008327072,0.006957147,-0.000681354
27/12/2017,19,-0.002868617,0.000880282,0.017509728,0.002919846,0.007635598,0.003723404
26/12/2017,20,-0.004,0.000881057,-0.042236025,0.001509292,0.000197511,-0.004086575
22/12/2017,21,0.00171723,0.000237264,-0.004329004,0.002648255,-0.002331768,-0.000831758
21/12/2017,22,0.001146132,-0.009634105,0.005909798,-0.001668135,-0.006946709,0.000226895
20/12/2017,23,-0.007959068,0.002186712,0.017083202,-0.007031909,-0.001628028,-0.000604686
19/12/2017,24,-0.009572072,0.003748227,-0.002524456,-0.008644194,-0.004150454,0.00075643
18/12/2017,25,-0.003367003,0.007484521,0,-0.000185862,-0.006667311,0.002198469
15/12/2017,26,0.010204082,0.000204165,0.013107417,0.018327498,0.011599492,0.001974934
14/12/2017,27,-0.006756757,0.006990132,0.008706869,-0.002454451,-0.005024963,-0.000759013
13/12/2017,28,-0.008375209,0.00655308,0.012075718,0.006014752,0.003840146,-0.003026863
12/12/2017,29,0.014730878,0.02394406,0.024749164,-0.0008856,0.008930917,-0.001209281
11/12/2017,30,-0.003387916,-0.009583771,-0.015151515,0.001013139,-0.003631367,-0.001810637
08/12/2017,31,0,0.013937653,-0.016202203,0.004548057,0.009878419,0.003026863
07/12/2017,32,0.002831257,0.013296439,0.008826414,0.007853319,0.008261159,-0.002415641
06/12/2017,33,-0.005630631,0.009907817,0.020006669,0.005900561,0.00822838,-0.000150955
